link|timestamps|res|fps|abr
https://www.youtube.com/watch?v=OQfusjHRO4s|[[00:39,01:24]]|144|30|50
https://www.youtube.com/watch?v=Ce_BXD_ONQ8|[[00:00,01:38]]|144|30|50
https://www.youtube.com/watch?v=cKTzseniZzs|[[00:00,01:13]]|144|30|50
https://www.youtube.com/watch?v=zfFJ5iOSrMU|[[00:00,02:39]]|144|30|50
https://www.youtube.com/watch?v=mr834Cs9ncs|[[00:16,02:12]]|144|30|50
https://www.youtube.com/watch?v=ZZY-Ytrw2co|[[01:04,01:37]]|144|30|50
https://www.youtube.com/watch?v=Cfu9s89C-pc|[[00:55,01:41]]|144|30|50
https://www.youtube.com/watch?v=H1MzGHGwP90|[[02:06,03:38]]|144|30|50
https://www.youtube.com/watch?v=q2Xi3ioasik|[[00:16,01:18]]|144|30|50
https://www.youtube.com/watch?v=lWz8NGIisMo|[[00:49,01:35]]|144|30|50
https://www.youtube.com/watch?v=z92bykaeV4o|[[00:19,02:35]]|144|30|50
https://www.youtube.com/watch?v=0_UU_aqeKl4|[[00:00,00:37]]|144|30|50
https://www.youtube.com/watch?v=or4o4Qwsn0s|[[02:38,03:11]]|144|30|50
https://www.youtube.com/watch?v=9lb5LdJ7cLc|[[00:53,03:02]]|144|30|50
https://www.youtube.com/watch?v=ahFARm2j38c|[[03:59,04:45]]|144|30|50
https://www.youtube.com/watch?v=w3ruUJSgtzY|[[01:31,02:16]]|144|30|50
https://www.youtube.com/watch?v=cIpTE-aHEZ0|[[00:49,02:14]]|144|30|50
https://www.youtube.com/watch?v=RAvoR20o9s4|[[01:25,02:14]]|144|30|50
https://www.youtube.com/watch?v=0ZoSYsNADtY|[[03:16,03:59]]|144|30|50
https://www.youtube.com/watch?v=ou6JNQwPWE0|[[01:08,08:52]]|144|30|50
https://www.youtube.com/watch?v=ypEaGQb6dJk|[[06:17,07:39]]|144|30|50
https://www.youtube.com/watch?v=qzuM2XTnpSA|[[01:24,01:50]]|144|30|50
https://www.youtube.com/watch?v=futq_Lrayes|[[00:19,01:31]]|144|30|50
https://www.youtube.com/watch?v=KlsfM2BmsJU|[[00:00,00:49]]|144|30|50
https://www.youtube.com/watch?v=T5qajitmZd0|[[02:24,03:24]]|144|30|50
https://www.youtube.com/watch?v=gOpXt30kZCw&t=25s|[[01:54,03:07]]|144|30|50
https://www.youtube.com/watch?v=UIkWIg0bV5Y|[[00:40,03:00]]|144|30|50
https://www.youtube.com/watch?v=CIrvSJwwJUE|[[00:26,02:26]]|144|30|50
https://www.youtube.com/watch?v=elQ1SSyTjk4|[[00:00,01:16]]|144|30|50
https://www.youtube.com/watch?v=SIxvwa1t-yA|[[01:41,03:48]]|144|30|50
https://www.youtube.com/watch?v=SUS0TR0M0iA|[[00:00,01:59]]|144|30|50
https://www.youtube.com/watch?v=J1cDECkN2xg|[[00:00,01:22]]|144|30|50
https://www.youtube.com/watch?v=J1cDECkN2xg|[[01:58,03:34]]|144|30|50
https://www.youtube.com/watch?v=qgQfm0yW9aE|[[00:54,02:00]]|144|30|50
https://www.youtube.com/watch?v=_Nc8eLO4K_g|[[00:15,00:56]]|144|30|50
https://www.youtube.com/watch?v=m8-vMP2_K7k|[[00:08,01:29]]|144|30|50
https://www.youtube.com/watch?v=m8-vMP2_K7k|[[01:33,02:28]]|144|30|50
https://www.youtube.com/watch?v=q9tMSfC7E38|[[00:03,02:00]]|144|30|50
https://www.youtube.com/watch?v=1_TZEsUhXRs|[[00:04,00:32]]|144|30|50
https://www.youtube.com/watch?v=WZ7UwnfQ2nA|[[00:11,01:04]]|144|30|50
https://www.youtube.com/watch?v=byiGKBzIu-8|[[00:35,01:20]]|144|30|50
https://www.youtube.com/watch?v=c0lCZ7q6Jug|[[02:05,02:45]]|144|30|50
https://www.youtube.com/watch?v=tOWaHTlq-hI|[[00:29,00:55]]|144|30|50
https://www.youtube.com/watch?v=W4tVH7BPb-Q|[[01:21,02:10]]|144|30|50
https://www.youtube.com/watch?v=3WfR87K5zW8|[[00:38,01:20]]|144|30|50
https://www.youtube.com/watch?v=bKM9qXqGmgo|[[00:33,03:20]]|144|30|50
https://www.youtube.com/watch?v=N9wsjroVlu8&t=6s|[[00:00,01:37]]|144|30|50
https://www.youtube.com/watch?v=z3bCc8xYAuQ|[[00:30,01:00]]|144|30|50
https://www.youtube.com/watch?v=AQXVHITd1N4|[[00:35,01:50]]|144|30|50
https://www.youtube.com/watch?v=0eC4G1Zw0Co|[[00:24,00:54]]|144|30|50
https://www.youtube.com/watch?v=h0KbKONipqg|[[00:16,02:00]]|144|30|50
https://www.youtube.com/watch?v=86GA4JnW7x4|[[00:02,01:00]]|144|30|50
https://www.youtube.com/watch?v=i_wrUmygRDA|[[00:00,00:30]]|144|30|50
https://www.youtube.com/watch?v=i_wrUmygRDA|[[03:02,04:41]]|144|30|50
https://www.youtube.com/watch?v=81ZtmBAA_NE|[[00:10,02:10]]|144|30|50
https://www.youtube.com/watch?v=qdbrIrFxas0|[[00:07,02:30]]|144|30|50
https://www.youtube.com/watch?v=xYtouKwkXLI|[[01:02,03:57]]|144|30|50
https://www.youtube.com/watch?v=BrMnkbkzvik|[[00:40,01:40]]|144|30|50
https://www.youtube.com/watch?v=XIMg2Xw4_8s|[[00:54,01:54]]|144|30|50
https://www.youtube.com/watch?v=_IDJpB9de3E|[[01:40,02:30]]|144|30|50
https://www.youtube.com/watch?v=5Vb52h76tKI|[[01:41,03:27]]|144|30|50
https://www.youtube.com/watch?v=RW1qHA5Hqwc|[[03:28,03:59]]|144|30|50
https://www.youtube.com/watch?v=uFWmeD2EARk|[[04:20,06:00]]|144|30|50
https://www.youtube.com/watch?v=0eU2y9R7lto|[[00:30,01:00]]|144|30|50
https://www.youtube.com/watch?v=Cf-EuW2oIF8|[[01:47,03:11]]|144|30|50
https://www.youtube.com/watch?v=3CZS69awf5I|[[00:00,02:11]]|144|30|50
https://www.youtube.com/watch?v=_qW9wqUI4Lg|[[01:38,02:28]]|144|30|50
https://www.youtube.com/watch?v=WFNEVcO7q0A|[[00:00,00:48]]|144|30|50
https://www.youtube.com/watch?v=VMXVD3dP_lY|[[00:10,01:00]]|144|30|50
https://www.youtube.com/watch?v=t1WWDBTda2Y|[[00:38,01:19]]|144|30|50
https://www.youtube.com/watch?v=EdznDnhY9r4|[[02:01,03:30]]|144|30|50
https://www.youtube.com/watch?v=-_fZDvxpXEI|[[00:15,03:00]]|144|30|50
https://www.youtube.com/watch?v=VUTEl1CoHVM|[[02:28,03:20]]|144|30|50
https://www.youtube.com/watch?v=8MDPeL8lpzo|[[02:06,02:37]]|144|30|50
https://www.youtube.com/watch?v=uXxN_ylX7Tw|[[00:26,01:26]]|144|30|50
https://www.youtube.com/watch?v=Rn0xXo1gwGY|[[00:53,02:22]]|144|30|50
https://www.youtube.com/watch?v=xCIzxvCs4jA|[[01:03,02:04]]|144|30|50
https://www.youtube.com/watch?v=LGxgRSwws3Q|[[00:00,00:32]]|144|30|50
https://www.youtube.com/watch?v=PeCKn6t5KnI|[[00:27,00:59]]|144|30|50
https://www.youtube.com/watch?v=MK1qkCQ-Jm4|[[03:40,04:45]]|144|30|50
https://www.youtube.com/watch?v=kaJv6L8vF-Y|[[00:21,01:26]]|144|30|50
https://www.youtube.com/watch?v=F2zTd_YwTvo|[[01:42,03:18]]|144|30|50
https://www.youtube.com/watch?v=PVBfTNCcIhI|[[00:49,01:25]]|144|30|50
https://www.youtube.com/watch?v=pvy3fR8rJDg|[[01:32,02:49]]|144|30|50
https://www.youtube.com/watch?v=17_ImViPryQ|[[02:48,03:27]]|144|30|50
https://www.youtube.com/watch?v=Pis3veqKl8k|[[02:44,03:15]]|144|30|50
https://www.youtube.com/watch?v=JABOZpoBYQE|[[00:11,03:17]]|144|30|50
https://www.youtube.com/watch?v=1JfS90u-1g8|[[00:12,01:00]]|144|30|50
https://www.youtube.com/watch?v=uirBWk-qd9A|[[00:09,01:43]]|144|30|50
https://www.youtube.com/watch?v=VxpOzghdA-c|[[01:43,02:37]]|144|30|50
https://www.youtube.com/watch?v=h9kQtd4_WcU|[[01:19,01:52]]|144|30|50
https://youtu.be/WSLMN6g_Od4|[[1:23,3:17]]|144|30|50
https://youtu.be/wsZSZ_vcCvA|[[1:33,2:00]]|144|30|50
https://youtu.be/rq2EnikiWp8|[[00:23,1:20]]|144|30|50
https://youtu.be/QhRFaY8A9cA|[[1:00,2:35]]|144|30|50
https://youtu.be/Ihjx3mX75y8|[[00:25,2:13]]|144|30|50
https://youtu.be/4LIIhSHgjTw|[[00:17,2:03]]|144|30|50
https://youtu.be/ABg0c_E7OOI|[[00:32,2:52]]|144|30|50
https://youtu.be/_YYmfM2TfUA|[[00:00,2:43]]|144|30|50
https://youtu.be/oomCIXGzsR0|[[00:41,2:31]]|144|30|50
https://youtu.be/ouVIyC_YQOg|[[2:56,3:16]]|144|30|50
https://youtu.be/cwpWcdy3vNI|[[00:16,2:36]]|144|30|50
https://youtu.be/_fkUccUFShs|[[00:00,00:43]]|144|30|50
